CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
166,Male,59.0,46,67.0
167,Female,49.0,20,40.0
168,Female,60.0,25,46.0
169,Male,60.0,61,54.0
170,Female,30.0,17,58.0
171,Male,19.0,41,48.0
172,Female,48.0,19,53.0
173,Male,18.0,21,61.0
174,Male,38.0,19,79.0
175,Male,33.0,18,49.0
176,Female,50.0,27,47.0
177,Male,52.0,56,25.0
178,Female,47.0,24,69.0
179,Female,35.0,36,74.0
180,Male,44.0,42,93.0
181,Male,46.0,22,35.0
182,Female,42.0,26,66.0
183,Female,36.0,65,73.0
184,Male,41.0,36,38.0
185,Male,26.0,92,56.0
186,Male,47.0,20,51.0
187,Male,46.0,24.0,55.0
188,Female,59.0,55,63.0
189,Female,24.0,20,54.0
190,Male,41.0,18,70.0
191,Female,29.0,20,59.0
192,Male,37.0,22,57.0
193,Female,19.0,22,64.0
194,Female,23.0,21,61.0
195,Male,55.0,34,64.0
196,Male,25.0,61,61.0
197,Male,26.0,45,75.0
198,male,43.0,39,75.0
199,Female,20.0,49,34.0
200,Female,54.0,30,58.0
201,Female,41.0,62,95.0
202,Male,45.0,21,64.0
203,Female,22.0,32,32.0
204,Female,32.0,18,62.0
205,Male,40.0,60,71.0
206,Female,38.0,33,63.0
207,Male ,49.0,32,29.0
208,Male,34.0,31,56.0
209,Female,59.0,19,45.0
210,Male,60.0,29,70.0
211,Male,50.0,39,36.0
212,Male,30.0,28,57.0
213,Male,38.0,15,55.0
214,Female,51.0,54,45.0
215,Male,23.0,24,46.0
216,Male,28.0,30,42.0
217,Male,42.0,46,79.0
218,Male,39.0,29,73.0
219,Female,40.0,22,75.0
220,Male,37.0,90,77.0
221,Male,49.0,28,49.0
222,Female,46.0,75,61.0
223,Male,33.0,68,44.0
224,Female,41.0,26,78.0
225,Male,57.0,104,42.0
226,Male,33.0,17.0,40.0
227,Male,52.0,49,87.0
228,Female,35.0,70,74.0
229,Male,40.0,19,52.0
230,Female,22.0,19,49.0
231,Female,29.0,16,45.0
232,Male,49.0,26,70.0
233,Female,41.0,67,59.0
234,Male,33.0,127,72.0
235,Male,23.0,21,74.0
236,Male,39.0,38,51.0
237,Female,52.0,36,49.0
238,Female,51.0,66,26.0
239,Male,45.0,15,58.0
240,Male,43.0,51,55.0
241,F,43.0,64,84.0
242,Male,40.0,18,90.0
243,Female,25.0,35,85.0
244,Male,35.0,31,68.0
245,Female,47.0,21.0,64.0
246,Male,29.0,51,54.0
247,Female,31.0,42,65.0
248,Male,20.0,25,31.0
249,Male,46.0,21,68.0
250,Female,38.0,47,56.0
251,Female,28.0,42,52.0
252,Female,32.0,52,72.0
253,Female,29.0,138,84.0
254,Male,,29,37.0
255,Female,35.0,38,65.0
256,Female,40.0,17,56.0
257,Male,21.0,51,19.0
258,Male,46.0,21,26.0
259,Male,27.0,52,48.0
260,Female,33.0,16$,72.0
261,Male,51.0,43,35.0
262,Male,18.0,80,72.0
263,Male,43.0,28,70.0
264,Female,29.0,23,39.0
265,FEMALE,,37,53.0
266,Male,26.0,30,43.0
267,Male,44.0,27,49.0
268,Male,18.0,50,63.0
269,Male,51.0,,68.0
270,Male,57.0,145,69.0
271,Female,51.0,16,27.0
272,Male,40.0,53$,60.0
273,Male,51.0,42.0,57.0
274,Male,70.0,26,57.0
275,Female,28.0,46,73.0
276,Female,55.0,72,88.0
277,Male,51.0,17,47.0
278,Male,39.0,,77.0
279,Female,18.0,37,36.0
280,Male,40.0,29,81.0
281,Female,69.0,111,55.0
282,Male,39.0,20,56.0
283,Male,28.0,30,80.0
284,Male,59.0,41,35.0
285,Female,44.0,38,85.0
286,Female,22.0,25,66.0
287,Female,38.0,25,73.0
288,Male,18.0,104,62.0
289,Male,38.0,17,81.0
290,Female,41.0,18,77.0
291,M,68.0,,53.0
292,Male,32.0,,63.0
293,Male,47.0,15,54.0
294,Female,39.0,23,36.0
295,Female,32.0,44,82.0
296,Male,33.0,87,83.0
297,Male,45.0,128,80.0
298,Male,19.0,99,50.0
299,Female,37.0,19,48.0
300,Male,38.0,20,71.0
301,Female,41.0,22,39.0
302,Male,20.0,49,46.0
303,Male,54.0,44,53.0
304,Female,53.0,76,46.0
305,Male,33.0,36.0,63.0
306,Male,52.0,54,75.0
307,Male,44.0,39,68.0
308,Male,42.0,27,67.0
309,Male,58.0,37,54.0
310,Male,19.0,36,60.0
311,Female,32.0,76,52.0
312,Female,40.0,48,51.0
313,Male,37.0,,75.0
314,Female,37.0,69$,66.0
315,Male,27.0,74,82.0
316,Male,31.0,37,77.0
317,Female,54.0,21,24.0
318,Female,26.0,29,63.0
319,Female,24.0,87,54.0
320,Female,19.0,69,65.0
321,Female,43.0,24,32.0
322,Male,67.0,135,48.0
323,Female,37.0,28,68.0
324,Female,29.0,45,73.0
325,Female,36.0,29,69.0
326,Male,47.0,48,46.0
327,Male,36.0,16,48.0
328,Female,53.0,18,54.0
329,Female,26.0,54,71.0
330,Female,39.0,15,53.0
331,Male,22.0,129,57.0
332,Male,35.0,31,55.0
333,Male,36.0,25,81.0
334,Female,53.0,41.0,78.0
335,Female,48.0,51,72.0
336,Female,39.0,25,73.0
337,Male,33.0,63,51.0
338,Female,40.0,31,55.0
339,Male,26.0,19,68.0
340,Male,18.0,48,45.0
341,Female,38.0,37,64.0
342,Male,48.0,39,27.0
343,Male,44.0,85,79.0
344,Female,54.0,30$,23.0
345, Female,50.0,34,40.0
346,Male,44.0,28,57.0
347,Male,45.0,48,65.0
348,Male,,74,66.0
349,F,44.0,123,55.0
350,Female,46.0,45,42.0
351,Male,18.0,31,49.0
352,Male,52.0,22,29.0
353,Male,39.0,39,86.0
354,Male,33.0,150,100.0
355,Male,40.0,19,48.0
356,Female,18.0,19,40.0
357,Male,42.0,36,56.0
358,Male,24.0,30,59.0
359,Male,18.0,22,62.0
360,Female,50.0,40,20.0
361,Male,44.0,23,83.0
362,Male,43.0,18,94.0
363,Male,20.0,72,71.0
364,Male,18.0,19,48.0
365,Female,49.0,41,41.0
366,Male,53.0,16,35.0
367,Female,,20,40.0
368,Male,34.0,56,61.0
369,Male,23.0,47,51.0
370,Male,49.0,18,55.0
371,Female,23.0,49,46.0
372,Male,20.0,37.0,67.0
373,Male,49.0,16,43.0
374,Male,35.0,37,67.0
375,Female,48.0,24,55.0
376,Male,39.0,19,75.0
377,Male,30.0,34,99.0
378,Male,64.0,60,34.0
379,Male,27.0,23,79.0
380,Male,41.0,23,72.0
381,Female,43.0,42,69.0
382,Female,44.0,50,66.0
383,Male,32.0,18,73.0
384,Male,24.0,16,49.0
385,Male,51.0,15,62.0
386,Female,51.0,56,71.0
387,Female,41.0,16,78.0
388,Male,51.0,40,59.0
389,Male,51.0,54,59.0
390,Female,,16,45.0
391,Female,44.0,21,75.0
392,Male,42.0,16,65.0
393,Male,57.0,27,55.0
394,Male,18.0,26,15.0
395,Male,28.0,22,76.0
396,Female,19.0,91,37.0
397,Male,37.0,36,87.0
398,Female,18.0,26,42.0
399,Male,52.0,44,21.0
400,Male,26.0,32,52.0
401,Male,30.0,61,40.0
402,Female,59.0,36,33.0
403,Male,38.0,21,80.0
404,Female,60.0,48,66.0
405,Male,27.0,21,39.0
406,Female,34.0,76,95.0
407,Female,39.0,44,74.0
408,Male,32.0,,100.0
409,Male,36.0,20,82.0
410,Male,18.0,50,66.0
411,Male,38.0,26,77.0
412,Female,24.0,49,77.0
413,Female,48.0,29,78.0
414,Male,43.0,21,67.0
415,Male,24.0,34,37.0
416,Male,42.0,23,66.0
417,Female,34.0,25,63.0
418,Male,31.0,28,52.0
419,Male,50.0,76,33.0
420,Male,22.0,16,56.0
421,Female,41.0,70,79.0
422,Male,31.0,29$,66.0
423,Female,31.0,31,75.0
424,female,24.0,23,61.0
425,Female,38.0,,
426,Male,36.0,19,77.0
427,Female,52.0,15$,47.0
428,Male,21.0,16,47.0
429,Female,35.0,32.0,45.0
430,Male,42.0,21,80.0
431,Male,39.0,22,62.0
432,Male,24.0,37,72.0
433,Male,52.0,36,29.0
434,Female,25.0,20,28.0
435,Male,22.0,30,55.0
436,Male,43.0,55,65.0
437,Male,34.0,40,61.0
438,Male,41.0,28,70.0
439,Female,18.0,30,22.0
440,Female,42.0,23,71.0
441,Female,29.0,36,77.0
442,Male,31.0,29,59.0
443,Male,18.0,46,34.0
444,Male,37.0,30,28.0
445,Male,18.0,23,51.0
446,Male,48.0,24,23.0
447,Female,61.0,31,51.0
448,Male,35.0,29,77.0
449,Male,18.0,19,15.0
450,Male,47.0,22,37.0
451,Female,59.0,52,49.0
452,Male,18.0,19,72.0
453,Male,70.0,57,60.0
454,Female,25.0,17,43.0
455,Female,45.0,15,48.0
456,Female,39.0,29,73.0
457,Male,40.0,53,58.0
458,Male,34.0,51,76.0
459,Female,38.0,15,69.0
460,Female,37.0,19,72.0
461,Male,44.0,42,83.0
462,Female,22.0,20,46.0
463,Female,27.0,17,52.0
464,Female,35.0,30,46.0
465,Male,43.0,29,54.0
466,female,35.0,15,71.0
467,Male,38.0,56,63.0
468,Female,36.0,17,78.0
469,Male,25.0,20,73.0
470,Male,34.0,18,29.0
471,Female,21.0,,26.0
472,Female,34.0,33,44.0
473,Male,18.0,86,65.0
474,Male,18.0,15,45.0
475,Female,18.0,15,61.0
476,Male,40.0,51,84.0
477,Female,48.0,23,62.0
478,Male,30.0,56,64.0
479,Male,54.0,41,46.0
480,Male,55.0,35,40.0
481,Male,30.0,48,59.0
482,Female,18.0,27,41.0
483,Male,66.0,150,62.0
484,Male,68.0,69,66.0
485,M,57.0,37,85.0
486,Male,37.0,59,88.0
487,Male,32.0,38,70.0
488,Female,44.0,38,79.0
489,Female,48.0,20,63.0
490,M,42.0,72,84.0
491,Female,54.0,30,50.0
492,Female,20.0,21,49.0
493,Female,48.0,47,46.0
494,Male,34.0,42,69.0
495,Female,26.0,34,55.0
496,Female,47.0,38,58.0
497,Male,62.0,39,56.0
498,Male,41.0,86,74.0
499,Male,64.0,45,53.0
500,Male,58.0,118,68.0
501,MALE,51.0,27,45.0
502,Male,22.0,68,73.0
503,Female,39.0,26,42.0
504,Female,23.0,22,20.0
505,Male,47.0,27,69.0
506,Male,34.0,28,74.0
507,Female,38.0,55,32.0
508,Male,18.0,19,41.0
509,Male,45.0,34,70.0
510,Male,54.0,43,62.0
511,Female,,15,48.0
512,Male,39.0,24,56.0
513,Male,35.0,31,99.0
514,Male,41.0,24,60.0
515,Male,55.0,15,52.0
516,Female,34.0,22,59.0
517,Male,37.0,19,59.0
518,Female,59.0,18,56.0
519,Male,47.0,71,24.0
520,Male,24.0,42,70.0
521,Male,47.0,21,46.0
522,Female,34.0,65,100.0
523,Male,30.0,32,71.0
524,Male,48.0,30,38.0
525,Male,57.0,53,32.0
526,Female,30.0,57,87.0
527,Male,40.0,18,59.0
528,Male,48.0,45,52.0
529,Female,37.0,19,51.0
530, Female,33.0,82,73.0
531,Female,28.0,37,72.0
532,Male,48.0,38,51.0
533,Male,46.0,26,53.0
534,Male,50.0,18,65.0
535,Female,30.0,38,71.0
536,Female,50.0,82,59.0
537,Male,30.0,40$,75.0
538,Male,50.0,18.0,37.0
539,Male,58.0,27,50.0
540,Male,56.0,41,38.0
541,Male,41.0,77,55.0
542,Female,43.0,42,82.0
543,Female,41.0,43,71.0
544,Female,49.0,29,44.0
545,Male,50.0,61,32.0
546,Male,55.0,68,74.0
547,FEMALE,19.0,17,45.0
548,Female,48.0,67,18.0
549,Male,32.0,16,84.0
550,Male,46.0,,57.0
551,Female,30.0,23,48.0
552,Female,36.0,23,54.0
553,Male,19.0,98,59.0
554,Female,18.0,17,27.0
555,Male,35.0,65,68.0
556,Female,51.0,20,56.0
557,Male,37.0,41,77.0
558,MALE,48.0,64,40.0
559,Male,24.0,31,56.0
560,Female,47.0,15,45.0
561,Male,18.0,38,48.0
562,Male,60.0,69,74.0
563,Female,55.0,137,65.0
564,MALE,31.0,19,86.0
565,Male,33.0,40,73.0
566,Female,27.0,19,92.0
567,Female,51.0,33$,48.0
568,Male,45.0,15,75.0
569,Female,22.0,57,60.0
570,Female,18.0,37,58.0
571,Male,21.0,29,51.0
572,Female,36.0,18,48.0
573,Male,59.0,17,36.0
574,Male,48.0,38,34.0
575,Male ,39.0,22,71.0
576,Male,41.0,73,68.0
577,Male,63.0,25,25.0
578,Male,46.0,24,34.0
579,Female,42.0,22,100.0
580,Female,44.0,18,72.0
581,Female,18.0,19,53.0
582,Male,31.0,24,52.0
583,Male,57.0,32,49.0
584,Female,38.0,79,85.0
585,Female,50.0,51,50.0
586,Male,28.0,16,73.0
587,Female,39.0,17,47.0
588,Female,27.0,49,55.0
589,female,22.0,26,49.0
590,Female,49.0,73,60.0
591,Male,44.0,31,85.0
592,Male,43.0,18,54.0
593,Male,27.0,20,56.0
594,Female,32.0,26,78.0
595,Male,25.0,,45.0
596,Male,26.0,19,70.0
597,Male,19.0,28,20.0
598,Male,49.0,28,48.0
599,Female,32.0,27,60.0
600,Male,40.0,68,58.0
601,Female,40.0,43,92.0
602,Male,44.0,39,53.0
603,Male,43.0,15,68.0
604,Male,18.0,41,41.0
605,male,45.0,23,74.0
606,Female,36.0,26,83.0
607,Male,18.0,32,58.0
608,Female,53.0,35,55.0
609,Male,46.0,25,36.0
610,FEMALE,35.0,31,59.0
611,Male,43.0,16,85.0
612,Male,41.0,23,44.0
613,Female,37.0,21,46.0
614,Female,40.0,34,64.0
615,Male,32.0,,64.0
616,Male,26.0,48,61.0
617,MALE,23.0,17,65.0
618,Female,39.0,78,79.0
619,Male,49.0,25,20.0
620,Female,50.0,111,65.0
621,Female,41.0,17,66.0
622,Male,18.0,24,34.0
623,Male,35.0,25,52.0
624,Male,63.0,72,35.0
625,Female,32.0,16,63.0
626,Female,57.0,63,30.0
627,Female,47.0,16,36.0
628,Male,36.0,26,72.0
629,Female,27.0,44,55.0
630,Male,32.0,21,75.0
631,Male,22.0,27,66.0
632,Female,55.0,19,58.0
633,Male,70.0,49.0,47.0
634,Male,47.0,57,69.0
635,Female,35.0,47,44.0
636,Female,60.0,62,39.0
637,Female,18.0,16,54.0
638,Male,42.0,76,76.0
639,Male,44.0,34,46.0
640,Female,37.0,32,42.0
641, Male,34.0,27$,55.0
642,M,42.0,30,29.0
643,Male,60.0,105,54.0
644,Male,23.0,35,23.0
645,Male,32.0,66,63.0
646,Male,41.0,82,83.0
647,Female,31.0,30,65.0
648,Male,45.0,19,82.0
649,Female,41.0,26,37.0
650, Female,46.0,15,37.0
651,Female,59.0,49,12.0
652,Male,32.0,26,61.0
653,Male,30.0,73,
654,Male,32.0,33,62.0
655,Male,41.0,19,73.0
656,Male,19.0,53,29.0
657,Male,47.0,20,45.0
658,Male,30.0,21,80.0
659,Male,,32,61.0
660,Male,32.0,39,81.0
661,Female,33.0,23,46.0
662,FEMALE,27.0,47,69.0
663,Male,29.0,41,80.0
664,Female,36.0,34$,87.0
665,Male,34.0,21,56.0
666,Male,35.0,29,52.0
667,Female,40.0,70,61.0
668,Female,46.0,20,34.0
669,Female,43.0,32,54.0
670,Female,,91,82.0
671,Male,26.0,51,62.0
672,Male,64.0,20,24.0
673,Female,28.0,101,67.0
674,Female,34.0,51,64.0
675,Female,28.0,29,74.0
676,Male,34.0,22.0,52.0
677,Male,35.0,17,41.0
678,Female,32.0,18,61.0
679,Male,49.0,37,28.0
680,Female,18.0,19,40.0
681,Male,31.0,17,65.0
682,Female,18.0,69,51.0
683,Male,19.0,21,40.0
684,Female,51.0,82,71.0
685,Female,34.0,18,68.0
686,Male,27.0,20,76.0
687,Female,46.0,15,64.0
688,Female,37.0,83,71.0
689,Male,32.0,20,49.0
690,Female,18.0,33,37.0
691,Male,49.0,33,46.0
692,Female,52.0,28,68.0
693,Male,23.0,24,57.0
694,Male,35.0,32,81.0
695,female,25.0,39,69.0
696,Male,34.0,16,64.0
697,Male,53.0,83,58.0
698,Female,43.0,15,76.0
699,Female,22.0,44,62.0
700,Male,32.0,22,93.0
701,Male,54.0,29,50.0
702,Male,58.0,55,48.0
703,Female,51.0,17,54.0
704,Male,41.0,43,61.0
705,Female,38.0,19,57.0
706,Male,49.0,27,44.0
707,Female,46.0,29$,38.0
708,Female,51.0,28,81.0
709,Male,45.0,41,81.0
710,Male,57.0,41,40.0
711,Male,36.0,64,57.0
712,Male,42.0,25,30.0
713,Female,58.0,23,35.0
714,Male,32.0,63,66.0
715,Male,46.0,85,48.0
716,Male,19.0,30,47.0
717,male,28.0,29,62.0
718,Male,35.0,74,64.0
719,Female,18.0,43,60.0
720,Female,33.0,19,59.0
721,Female,53.0,40,23.0
722,Male,22.0,43,43.0
723,Female,34.0,37,54.0
724,Female,44.0,20,54.0
725,Male,18.0,62,61.0
726,Female,35.0,33,65.0
727,Male,37.0,50,59.0
728,Male,44.0,29,32.0
729,Female,26.0,37,47.0
730,Female,23.0,16,62.0
731,Male,29.0,37,76.0
732,Male,38.0,21,36.0
733,Male,44.0,53,75.0
734,Female,36.0,24,80.0
735,Male,37.0,21.0,80.0
736,Female,22.0,94,52.0
737,Male,55.0,65,66.0
738,Female,43.0,96,77.0
739, Female,40.0,19,56.0
740,Male,51.0,16,49.0
741,Male,57.0,21,62.0
742,Male,39.0,18,70.0
743,Male,18.0,22,78.0
744,Male,66.0,22,39.0
745,Female,38.0,,32.0
746,Male,46.0,33,21.0
747,Male,32.0,40,53.0
748,Male,34.0,43,95.0
749,Male,47.0,35,41.0
750,Female,37.0,49,42.0
751,Male,29.0,25,60.0
752,Male,38.0,23,59.0
753,Female,40.0,40,46.0
754,Male,18.0,,61.0
755,Male,31.0,78,77.0
756,Male,57.0,30,54.0
757,male,35.0,23,61.0
758,Male,47.0,15,55.0
759,Female,57.0,42,25.0
760,Female,34.0,61,58.0
761,Male,25.0,23,84.0
762,Male,28.0,36,51.0
763,Female,47.0,53,73.0
764,Male,37.0,31,69.0
765,Male,38.0,25,50.0
766,Female,33.0,49,95.0
767,Male,45.0,55,65.0
768,Male,49.0,21,45.0
769,Female,44.0,17$,70.0
770,Female,20.0,25,77.0
771,Male,38.0,18,63.0
772,Female,38.0,17,71.0
773,Male,47.0,35,75.0
774,Female,30.0,32,61.0
775,Female,41.0,21$,84.0
776,Male,33.0,96,45.0
777,Male,36.0,58,71.0
778,Male,36.0,34,59.0
779,Female,45.0,86,62.0
780,Female,41.0,23,78.0
781,Male,42.0,60,76.0
782,Male,18.0,56,34.0
783,Female,42.0,76,100.0
784,Male,35.0,21,64.0
785,Male,35.0,15,63.0
786,Male,51.0,21,40.0
787,Male,34.0,19,39.0
788,Male,32.0,45,50.0
789,Male,38.0,58,71.0
790,Female,54.0,33,83.0
791,Female,38.0,39.0,57.0
792,Female,44.0,29.0,94.0
793,Female,26.0,34,20.0
794,Male,27.0,16,14.0
795,Female,41.0,20,68.0
796,Male,33.0,53,76.0
797,Female,49.0,34,44.0
798,Male,33.0,30,41.0
799,male,41.0,33,86.0
800,Female,45.0,52,54.0
801,Male,30.0,97,70.0
802,Male,24.0,23,41.0
803,Male,18.0,33,76.0
804,Male,37.0,74,62.0
805,Male,47.0,15,60.0
806, Female,35.0,126,86.0
807,Male,43.0,21,100.0
808,Male,30.0,59.0,72.0
809,Male,20.0,87,78.0
810,female,30.0,33,71.0
811,Male,40.0,51,74.0
812,Male,41.0,34,82.0
813,Male,62.0,27,79.0
814,Male,48.0,18,60.0
815,Female,45.0,21,48.0
816,Female,24.0,47,44.0
817,Male,18.0,42,31.0
818,Female,35.0,65.0,92.0
819,Male,18.0,20,64.0
820,Female,44.0,30,57.0
821,Male,35.0,23,71.0
822,Male,27.0,36$,49.0
823,Female,34.0,39,85.0
824,Female,44.0,110,65.0
825,Female,41.0,33,43.0
826,Female,41.0,57,61.0
827,Male,36.0,48,58.0
828,Female,35.0,30,79.0
829,Male,18.0,18,47.0
830,Female,18.0,89,45.0
831,Male,45.0,29,60.0
832,Male ,40.0,23,53.0
833,Male,18.0,16,47.0
834,Male,39.0,25,63.0
835,Male,57.0,16,17.0
836,Female,33.0,15,67.0
837,Male,33.0,73,85.0
838,Male,26.0,15,26.0
839,Male,46.0,25,49.0
840,Male,41.0,60,81.0
841,Female,18.0,,62.0
842,Female,58.0,15,15.0
843,Male,20.0,38,18.0
844,Female,25.0,116,57.0
845, Male,39.0,45$,54.0
846,Female,18.0,20,42.0
847,Male,20.0,36,33.0
848,Female,41.0,21,85.0
849,Male,54.0,26,73.0
850,Female ,37.0,40,67.0
851,Female,47.0,35,38.0
852,Male,41.0,48,56.0
853,Female,48.0,16,61.0
854,Female,26.0,20,69.0
855,Female,30.0,41,82.0
856,Male,34.0,66,38.0
857,Male,49.0,118,66.0
858,Female,38.0,,50.0
859,Female,37.0,20,35.0
860,Female,28.0,28,68.0
861,Female,29.0,28,41.0
862,Female,44.0,46,64.0
863,Male,33.0,67,60.0
864,Female,55.0,87,50.0
865,Female,42.0,91,78.0
866,Female,56.0,34,51.0
867,Female,43.0,105,75.0
868,Female,66.0,36,32.0
869,Male,30.0,49,56.0
870,Female,18.0,36,56.0
871,Female,62.0,19,48.0
872,male,36.0,58,46.0
873,Female,42.0,28,70.0
874,Female,30.0,37,68.0
875,Female,26.0,56,54.0
876,Female,29.0,70,78.0
877,Female,33.0,18,78.0
878,Male,41.0,62,45.0
879,Male,39.0,59,71.0
880,Male,42.0,46,51.0
881,Male,18.0,15,24.0
882,Female,34.0,70,44.0
883,Female,45.0,22,83.0
884,Male,36.0,120,85.0
885,Male,29.0,39,74.0
886,Male,41.0,26,65.0
887,male,54.0,32,61.0
888,Male,22.0,29,35.0
889,male,51.0,39,33.0
890,Female,43.0,17,66.0
891,Male,18.0,21,51.0
892,Female,39.0,30.0,58.0
893,MALE,48.0,16,33.0
894,Female,41.0,47,55.0
895,Female,36.0,27.0,48.0
896,Female,34.0,30,56.0
897,Male,36.0,75$,75.0
898,female,24.0,15$,42.0
899,Male,48.0,59,72.0
900,Female,61.0,19,56.0
901,Male ,26.0,18,62.0
902,Male,40.0,40,75.0
903,Female,38.0,16,82.0
904,Male,21.0,17,38.0
905,Male,22.0,50,45.0
906,Female,45.0,37,44.0
907,Male,47.0,17,53.0
908,Female,47.0,31,57.0
909,Female,34.0,15,44.0
910,Female,39.0,31,67.0
911,Male,57.0,32,
912,Female,29.0,38,47.0
913,Female,52.0,15,45.0
914,Male,65.0,30,57.0
915,Female,41.0,87,92.0
916,Female,21.0,19,26.0
917,Male,20.0,109,58.0
918,Female ,48.0,54,68.0
919,Female,37.0,33,66.0
920,Male,33.0,15,51.0
921,Male,44.0,49,55.0
922,Female,46.0,95,87.0
923,Male,33.0,20,49.0
924,Male,19.0,15,50.0
925,Male,54.0,26,61.0
926,Female,31.0,56,81.0
927,Female,42.0,71,94.0
